gyro,1560393545281.403564,-0.00175276,4.27196e-06,-3.09813e-06
accel,1560393546121.590332,0.307864,-9.80551,2.19762
gyro,1560393545286.345947,-7.42782e-06,4.27196e-06,-3.09813e-06
accel,1560393546125.503662,0.308028,-9.68543,2.1877
gyro,1560393545291.058350,-7.42782e-06,4.27196e-06,-3.09813e-06
accel,1560393546129.240723,0.307968,-9.72548,2.1976
gyro,1560393545295.942139,-7.42782e-06,4.27196e-06,-3.09813e-06
accel,1560393546133.110596,0.307923,-9.76546,2.18772
gyro,1560393545300.647217,-7.42782e-06,4.27196e-06,-0.00349376
accel,1560393546136.841064,0.327926,-9.74584,2.19735
gyro,1560393545305.452148,-7.42782e-06,-0.00174106,0.00348756
accel,1560393546140.659424,0.287927,-9.78505,2.16821
gyro,1560393545310.721191,-7.42782e-06,-0.00174106,-0.00174843
accel,1560393546144.733643,0.308005,-9.72533,2.14817
gyro,1560393545315.195557,-0.00175276,4.27196e-06,-3.09813e-06
accel,1560393546148.263672,0.287991,-9.72509,2.18797
gyro,1560393545320.511230,-7.42782e-06,-0.00174106,-3.09813e-06
accel,1560393546152.642822,0.287864,-9.8052,2.21765
gyro,1560393545325.528809,-7.42782e-06,4.27196e-06,0.00348756
accel,1560393546156.093506,0.307964,-9.7454,2.16794
gyro,1560393545329.985596,-7.42782e-06,4.27196e-06,-3.09813e-06
accel,1560393546160.338623,0.307942,-9.74548,2.1976
gyro,1560393545335.827393,-0.00175276,4.27196e-06,-3.09813e-06
accel,1560393546164.538330,0.337903,-9.7859,2.1478
gyro,1560393545340.010010,-7.42782e-06,4.27196e-06,-3.09813e-06
accel,1560393546167.765137,0.287983,-9.72512,2.19785
gyro,1560393545344.765625,-0.00175276,4.27196e-06,-3.09813e-06
accel,1560393546172.113281,0.307949,-9.74545,2.18772
gyro,1560393545350.514160,-0.00175276,4.27196e-06,-3.09813e-06
accel,1560393546175.947754,0.288032,-9.70502,2.16819
gyro,1560393545355.254883,0.0017379,4.27196e-06,-0.00174843
accel,1560393546179.893799,0.327986,-9.7058,2.18745
gyro,1560393545359.898438,-7.42782e-06,4.27196e-06,-3.09813e-06
accel,1560393546184.035156,0.337893,-9.76603,2.19722
gyro,1560393545365.072998,-7.42782e-06,4.27196e-06,-3.09813e-06
accel,1560393546187.750488,0.337926,-9.746,2.18733
gyro,1560393545369.468994,-0.00175276,0.00698559,-3.09813e-06
accel,1560393546191.278809,0.267995,-9.74468,2.16846
gyro,1560393545374.737305,-0.00175276,0.0017496,-3.09813e-06
accel,1560393546195.330322,0.307923,-9.76546,2.18772
gyro,1560393545379.942871,-7.42782e-06,4.27196e-06,-3.09813e-06
accel,1560393546200.303711,0.327989,-9.72569,2.14791
gyro,1560393545386.273193,-7.42782e-06,4.27196e-06,-3.09813e-06
accel,1560393546204.632080,0.327912,-9.7459,2.21712
gyro,1560393545391.169922,-7.42782e-06,-0.00348639,-3.09813e-06
accel,1560393546208.206543,0.287969,-9.72517,2.21763
gyro,1560393545395.920898,-0.00175276,4.27196e-06,-3.09813e-06
accel,1560393546212.163330,0.308057,-9.68532,2.14816
gyro,1560393545400.261475,-7.42782e-06,4.27196e-06,-3.09813e-06
accel,1560393546215.891602,0.307923,-9.76546,2.18772
gyro,1560393545405.459961,-0.00175276,4.27196e-06,-3.09813e-06
accel,1560393546219.752686,0.288017,-9.70508,2.18796
gyro,1560393545410.023438,-7.42782e-06,4.27196e-06,-3.09813e-06
accel,1560393546222.935547,0.308016,-9.70538,2.16793
gyro,1560393545414.718018,-7.42782e-06,4.27196e-06,0.00174223
accel,1560393546226.688232,0.307923,-9.76546,2.18772
gyro,1560393545419.326172,-7.42782e-06,4.27196e-06,0.00348756
accel,1560393546231.396240,0.307968,-9.72548,2.1976
gyro,1560393545426.245361,0.0017379,-0.00174106,-3.09813e-06
accel,1560393546235.955566,0.327896,-9.78577,2.1677
gyro,1560393545430.674072,-0.00175276,-0.00174106,0.00174223
accel,1560393546239.413818,0.24801,-9.74432,2.16871
gyro,1560393545434.509033,-7.42782e-06,4.27196e-06,-3.09813e-06
accel,1560393546242.791748,0.288058,-9.68501,2.16818
gyro,1560393545440.409424,-7.42782e-06,4.27196e-06,-3.09813e-06
accel,1560393546247.608154,0.327948,-9.74576,2.16769
gyro,1560393545445.506592,-0.00175276,0.0017496,-0.00174843
accel,1560393546250.829102,0.307923,-9.76546,2.18772
gyro,1560393545449.235840,-7.42782e-06,-0.00174106,0.00348756
accel,1560393546253.988770,0.307968,-9.72548,2.1976
gyro,1560393545453.927246,-0.00175276,4.27196e-06,-3.09813e-06
accel,1560393546258.062256,0.327953,-9.72584,2.19734
gyro,1560393545459.932373,-7.42782e-06,-0.00174106,-3.09813e-06
accel,1560393546263.598389,0.307975,-9.72545,2.18771
gyro,1560393545465.112305,-7.42782e-06,0.00698559,-3.09813e-06
accel,1560393546267.167725,0.307923,-9.76546,2.18772
gyro,1560393545469.552734,-7.42782e-06,4.27196e-06,0.00174223
accel,1560393546270.618408,0.307938,-9.76541,2.16795
gyro,1560393545475.142090,-7.42782e-06,4.27196e-06,-3.09813e-06
accel,1560393546274.623779,0.308016,-9.70538,2.16793
gyro,1560393545481.013428,-7.42782e-06,-0.00174106,-0.00174843
accel,1560393546279.954102,0.287983,-9.72512,2.19785
gyro,1560393545487.068848,-7.42782e-06,0.0017496,-3.09813e-06
accel,1560393546283.894287,0.3279,-9.76585,2.19735
gyro,1560393545491.477295,-7.42782e-06,-0.00174106,-3.09813e-06
accel,1560393546287.277100,0.308001,-9.70544,2.18771
gyro,1560393545496.048096,0.0017379,4.27196e-06,0.00174223
accel,1560393546291.223389,0.327948,-9.74576,2.16769
gyro,1560393545501.303711,-7.42782e-06,4.27196e-06,-3.09813e-06
accel,1560393546295.180664,0.307938,-9.76541,2.16795
gyro,1560393545504.866211,-7.42782e-06,4.27196e-06,-3.09813e-06
accel,1560393546298.148926,0.327934,-9.74582,2.18746
gyro,1560393545508.980713,-7.42782e-06,0.0017496,-3.09813e-06
accel,1560393546301.309570,0.307916,-9.76549,2.19761
gyro,1560393545513.257080,-7.42782e-06,-0.00174106,-3.09813e-06
accel,1560393546305.031494,0.308001,-9.70544,2.18771
gyro,1560393545518.328125,-7.42782e-06,0.00349493,-3.09813e-06
accel,1560393546309.288818,0.28802,-9.72497,2.14842
gyro,1560393545524.062500,-7.42782e-06,4.27196e-06,-3.09813e-06
accel,1560393546313.849121,0.307897,-9.78547,2.18773
gyro,1560393545528.720947,-7.42782e-06,-0.00174106,-3.09813e-06
accel,1560393546317.059814,0.307952,-9.76535,2.14818
gyro,1560393545533.676758,0.0017379,4.27196e-06,-3.09813e-06
accel,1560393546321.775635,0.287979,-9.74504,2.1682
gyro,1560393545539.756836,-0.00349809,0.0017496,-3.09813e-06
accel,1560393546325.755859,0.307923,-9.76546,2.18772
gyro,1560393545544.059570,-0.00349809,-0.00174106,-3.09813e-06
accel,1560393546329.697021,0.308005,-9.72533,2.14817
gyro,1560393545549.988281,0.0017379,0.0017496,-3.09813e-06
accel,1560393546334.008545,0.337893,-9.76603,2.19722
gyro,1560393545555.084473,-7.42782e-06,-0.00523172,-3.09813e-06
accel,1560393546338.812256,0.307993,-9.74529,2.1284
gyro,1560393545560.500244,-7.42782e-06,-0.00523172,-3.09813e-06
accel,1560393546342.901855,0.28802,-9.72497,2.14842
gyro,1560393545567.464111,-7.42782e-06,4.27196e-06,0.00348756
accel,1560393546348.491943,0.327937,-9.76571,2.14792
gyro,1560393545572.366943,-7.42782e-06,4.27196e-06,-3.09813e-06
accel,1560393546351.731689,0.337955,-9.74588,2.14779
gyro,1560393545576.649658,-7.42782e-06,4.27196e-06,-3.09813e-06
accel,1560393546355.229004,0.30799,-9.72539,2.16794
gyro,1560393545581.660889,-7.42782e-06,0.0017496,-3.09813e-06
accel,1560393546358.949707,0.307923,-9.76546,2.18772
gyro,1560393545585.456299,0.0017379,0.0017496,-3.09813e-06
